BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
4,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,226,"450,000","977,874","905,000","2,155,000"
4,FLUSHING-SOUTH,02 TWO FAMILY DWELLINGS,60,"237,900","1,110,390","1,112,500","1,979,500"
4,FLUSHING-SOUTH,03 THREE FAMILY DWELLINGS,10,"975,000","1,439,035","1,283,000","2,099,889"
4,FOREST HILLS,01 ONE FAMILY DWELLINGS,138,"750,000","1,513,391","1,316,250","4,100,000"
4,FOREST HILLS,02 TWO FAMILY DWELLINGS,28,"850,000","1,310,429","1,255,000","2,530,000"
4,FOREST HILLS,03 THREE FAMILY DWELLINGS,3,"1,140,000","1,532,667","1,358,000","2,100,000"
4,FRESH MEADOWS,01 ONE FAMILY DWELLINGS,75,"500,000","1,098,746","999,999","2,075,000"
4,FRESH MEADOWS,02 TWO FAMILY DWELLINGS,9,"495,000","1,058,667","1,100,000","1,250,000"
4,GLEN OAKS,01 ONE FAMILY DWELLINGS,25,"495,000","810,995","810,000","1,172,000"
4,GLEN OAKS,02 TWO FAMILY DWELLINGS,2,"936,000","1,513,000","1,513,000","2,090,000"
4,GLEN OAKS,03 THREE FAMILY DWELLINGS,1,"810,000","810,000","810,000","810,000"
4,GLENDALE,01 ONE FAMILY DWELLINGS,79,"281,927","782,107","777,350","1,330,000"
4,GLENDALE,02 TWO FAMILY DWELLINGS,125,"200,000","883,612","883,000","1,490,000"
4,GLENDALE,03 THREE FAMILY DWELLINGS,11,"863,000","1,197,091","1,200,000","1,790,000"
4,HAMMELS,01 ONE FAMILY DWELLINGS,12,"375,000","610,833","645,000","825,000"
4,HAMMELS,02 TWO FAMILY DWELLINGS,15,"345,000","915,586","806,963","2,810,000"
4,HAMMELS,03 THREE FAMILY DWELLINGS,4,"495,430","1,036,358","1,095,000","1,460,000"
4,HILLCREST,01 ONE FAMILY DWELLINGS,20,"643,500","825,025","805,000","1,125,000"
4,HILLCREST,02 TWO FAMILY DWELLINGS,5,"620,000","812,600","860,000","998,000"
4,HOLLIS,01 ONE FAMILY DWELLINGS,163,"200,000","713,610","710,000","1,500,000"
4,HOLLIS,02 TWO FAMILY DWELLINGS,57,"325,000","762,625","775,000","1,209,000"
4,HOLLIS,03 THREE FAMILY DWELLINGS,6,"655,000","1,001,667","1,057,500","1,275,000"
4,HOLLIS HILLS,01 ONE FAMILY DWELLINGS,35,"800,000","1,189,268","1,200,000","2,000,000"
4,HOLLIS HILLS,02 TWO FAMILY DWELLINGS,1,"1,130,000","1,130,000","1,130,000","1,130,000"
